[INFO] SURF on CPU
elapsed time: 0.0800779; featured found: 37; features tracked: 27
elapsed time: 0.0836333; featured found: 39; features tracked: 27
elapsed time: 0.0884539; featured found: 38; features tracked: 23
elapsed time: 0.077641; featured found: 34; features tracked: 20
elapsed time: 0.0841902; featured found: 37; features tracked: 21
elapsed time: 0.0767278; featured found: 38; features tracked: 23
elapsed time: 0.083255; featured found: 34; features tracked: 18
elapsed time: 0.0760943; featured found: 33; features tracked: 23
elapsed time: 0.0741678; featured found: 33; features tracked: 22
elapsed time: 0.0776536; featured found: 36; features tracked: 20
elapsed time: 0.0839375; featured found: 32; features tracked: 22
elapsed time: 0.0767552; featured found: 35; features tracked: 23
elapsed time: 0.0793488; featured found: 35; features tracked: 26
elapsed time: 0.0857172; featured found: 35; features tracked: 20
elapsed time: 0.0805242; featured found: 34; features tracked: 19
elapsed time: 0.084546; featured found: 38; features tracked: 24
elapsed time: 0.081997; featured found: 36; features tracked: 23
elapsed time: 0.0834243; featured found: 36; features tracked: 24
elapsed time: 0.08514; featured found: 36; features tracked: 21
elapsed time: 0.0775424; featured found: 38; features tracked: 24
elapsed time: 0.0782431; featured found: 38; features tracked: 25
elapsed time: 0.0915084; featured found: 37; features tracked: 24
elapsed time: 0.0771538; featured found: 36; features tracked: 22
elapsed time: 0.0810228; featured found: 35; features tracked: 26
elapsed time: 0.0810848; featured found: 40; features tracked: 26
elapsed time: 0.0766851; featured found: 42; features tracked: 22
elapsed time: 0.0840158; featured found: 41; features tracked: 24
elapsed time: 0.0748549; featured found: 43; features tracked: 28
elapsed time: 0.0795916; featured found: 41; features tracked: 32
elapsed time: 0.0846611; featured found: 38; features tracked: 22
elapsed time: 0.0810226; featured found: 37; features tracked: 22
elapsed time: 0.0790241; featured found: 35; features tracked: 23
elapsed time: 0.0772653; featured found: 38; features tracked: 24
elapsed time: 0.0811754; featured found: 36; features tracked: 17
elapsed time: 0.077176; featured found: 38; features tracked: 25
elapsed time: 0.077123; featured found: 37; features tracked: 26
elapsed time: 0.0801502; featured found: 30; features tracked: 19
elapsed time: 0.0795138; featured found: 32; features tracked: 25
elapsed time: 0.0753698; featured found: 31; features tracked: 21
elapsed time: 0.0749974; featured found: 35; features tracked: 23
elapsed time: 0.0808113; featured found: 38; features tracked: 21
elapsed time: 0.0772318; featured found: 32; features tracked: 21
elapsed time: 0.0748889; featured found: 26; features tracked: 20
elapsed time: 0.0755581; featured found: 32; features tracked: 19
elapsed time: 0.0813747; featured found: 32; features tracked: 21
elapsed time: 0.0803613; featured found: 34; features tracked: 21
elapsed time: 0.0752363; featured found: 36; features tracked: 16
elapsed time: 0.0780698; featured found: 37; features tracked: 17
elapsed time: 0.0789721; featured found: 37; features tracked: 23
elapsed time: 0.0785942; featured found: 32; features tracked: 19
elapsed time: 0.0786633; featured found: 33; features tracked: 20
elapsed time: 0.0787219; featured found: 38; features tracked: 19
elapsed time: 0.0817318; featured found: 44; features tracked: 25
elapsed time: 0.0814716; featured found: 40; features tracked: 25
elapsed time: 0.0831406; featured found: 42; features tracked: 27
elapsed time: 0.0808644; featured found: 46; features tracked: 29
elapsed time: 0.0815901; featured found: 45; features tracked: 29
elapsed time: 0.0821384; featured found: 46; features tracked: 28
elapsed time: 0.0801493; featured found: 45; features tracked: 29
elapsed time: 0.0878726; featured found: 48; features tracked: 34
elapsed time: 0.0752997; featured found: 45; features tracked: 34
elapsed time: 0.0826137; featured found: 44; features tracked: 32
elapsed time: 0.078094; featured found: 44; features tracked: 30
elapsed time: 0.0784989; featured found: 45; features tracked: 28
elapsed time: 0.0821275; featured found: 44; features tracked: 29
elapsed time: 0.0839168; featured found: 41; features tracked: 29
elapsed time: 0.0849446; featured found: 38; features tracked: 24
elapsed time: 0.079086; featured found: 38; features tracked: 28
elapsed time: 0.0843809; featured found: 36; features tracked: 27
elapsed time: 0.0784615; featured found: 38; features tracked: 25
elapsed time: 0.0758443; featured found: 40; features tracked: 20
elapsed time: 0.0791129; featured found: 41; features tracked: 23
elapsed time: 0.0800527; featured found: 43; features tracked: 28
elapsed time: 0.0782744; featured found: 39; features tracked: 24
elapsed time: 0.078872; featured found: 41; features tracked: 23
elapsed time: 0.0771668; featured found: 43; features tracked: 26
elapsed time: 0.0755603; featured found: 43; features tracked: 29
elapsed time: 0.0817487; featured found: 44; features tracked: 26
elapsed time: 0.0767255; featured found: 47; features tracked: 26
elapsed time: 0.08459; featured found: 40; features tracked: 24
elapsed time: 0.0808164; featured found: 40; features tracked: 26
elapsed time: 0.0813042; featured found: 46; features tracked: 31
elapsed time: 0.08416; featured found: 48; features tracked: 31
elapsed time: 0.0790611; featured found: 47; features tracked: 36
elapsed time: 0.0780957; featured found: 44; features tracked: 32
elapsed time: 0.0861757; featured found: 46; features tracked: 27
elapsed time: 0.0828269; featured found: 50; features tracked: 40
elapsed time: 0.0803149; featured found: 47; features tracked: 34
elapsed time: 0.0774808; featured found: 48; features tracked: 28
elapsed time: 0.0806093; featured found: 47; features tracked: 32
elapsed time: 0.0790774; featured found: 42; features tracked: 30
elapsed time: 0.0767248; featured found: 42; features tracked: 23
elapsed time: 0.0808738; featured found: 43; features tracked: 28
elapsed time: 0.0792387; featured found: 48; features tracked: 28
elapsed time: 0.0793161; featured found: 49; features tracked: 25
elapsed time: 0.0800227; featured found: 47; features tracked: 36
elapsed time: 0.0783517; featured found: 41; features tracked: 29
elapsed time: 0.082073; featured found: 40; features tracked: 29
elapsed time: 0.0851095; featured found: 39; features tracked: 26
elapsed time: 0.0791082; featured found: 37; features tracked: 23
elapsed time: 0.0766488; featured found: 40; features tracked: 25
elapsed time: 0.0778492; featured found: 45; features tracked: 25
elapsed time: 0.0791196; featured found: 42; features tracked: 30
elapsed time: 0.0751484; featured found: 42; features tracked: 27
elapsed time: 0.0771448; featured found: 44; features tracked: 31
elapsed time: 0.0770707; featured found: 46; features tracked: 32
elapsed time: 0.0775092; featured found: 46; features tracked: 28
elapsed time: 0.0788324; featured found: 47; features tracked: 29
