[INFO] ORB on CPU
elapsed time: 0.0757815; featured found: 30; features tracked: 18
elapsed time: 0.0761721; featured found: 30; features tracked: 17
elapsed time: 0.0764661; featured found: 30; features tracked: 17
elapsed time: 0.0767965; featured found: 30; features tracked: 15
elapsed time: 0.0771702; featured found: 30; features tracked: 17
elapsed time: 0.0767263; featured found: 30; features tracked: 13
elapsed time: 0.0863988; featured found: 30; features tracked: 17
elapsed time: 0.077178; featured found: 30; features tracked: 14
elapsed time: 0.0764537; featured found: 30; features tracked: 16
elapsed time: 0.0767264; featured found: 30; features tracked: 18
elapsed time: 0.0774761; featured found: 30; features tracked: 19
elapsed time: 0.0770396; featured found: 30; features tracked: 18
elapsed time: 0.0779407; featured found: 30; features tracked: 14
elapsed time: 0.0755601; featured found: 30; features tracked: 18
elapsed time: 0.0809984; featured found: 30; features tracked: 20
elapsed time: 0.0756286; featured found: 30; features tracked: 21
elapsed time: 0.0752102; featured found: 30; features tracked: 19
elapsed time: 0.0767199; featured found: 30; features tracked: 19
elapsed time: 0.0817365; featured found: 30; features tracked: 14
elapsed time: 0.0768838; featured found: 30; features tracked: 16
elapsed time: 0.0778996; featured found: 30; features tracked: 17
elapsed time: 0.0771238; featured found: 30; features tracked: 15
elapsed time: 0.0817273; featured found: 30; features tracked: 22
elapsed time: 0.0761813; featured found: 30; features tracked: 16
elapsed time: 0.0762266; featured found: 30; features tracked: 18
elapsed time: 0.0766919; featured found: 30; features tracked: 18
elapsed time: 0.0765442; featured found: 30; features tracked: 16
elapsed time: 0.0765486; featured found: 30; features tracked: 15
elapsed time: 0.0766423; featured found: 30; features tracked: 12
elapsed time: 0.0781525; featured found: 30; features tracked: 15
elapsed time: 0.0895711; featured found: 30; features tracked: 16
elapsed time: 0.0779684; featured found: 30; features tracked: 14
elapsed time: 0.0781363; featured found: 30; features tracked: 13
elapsed time: 0.0789723; featured found: 30; features tracked: 19
elapsed time: 0.0780433; featured found: 30; features tracked: 20
elapsed time: 0.0782869; featured found: 30; features tracked: 17
elapsed time: 0.0776978; featured found: 30; features tracked: 16
elapsed time: 0.0785524; featured found: 30; features tracked: 13
elapsed time: 0.0825787; featured found: 30; features tracked: 16
elapsed time: 0.0785269; featured found: 30; features tracked: 20
elapsed time: 0.0786136; featured found: 30; features tracked: 17
elapsed time: 0.0802684; featured found: 30; features tracked: 14
elapsed time: 0.0875904; featured found: 30; features tracked: 15
elapsed time: 0.0776969; featured found: 30; features tracked: 16
elapsed time: 0.0776723; featured found: 30; features tracked: 20
elapsed time: 0.0775594; featured found: 30; features tracked: 13
elapsed time: 0.0824342; featured found: 30; features tracked: 12
elapsed time: 0.0769961; featured found: 30; features tracked: 16
elapsed time: 0.076519; featured found: 30; features tracked: 15
elapsed time: 0.0764973; featured found: 30; features tracked: 21
elapsed time: 0.0764667; featured found: 30; features tracked: 9
elapsed time: 0.0769776; featured found: 30; features tracked: 14
elapsed time: 0.077214; featured found: 30; features tracked: 18
elapsed time: 0.0774227; featured found: 30; features tracked: 19
elapsed time: 0.0884545; featured found: 30; features tracked: 15
elapsed time: 0.0783875; featured found: 30; features tracked: 16
elapsed time: 0.0772926; featured found: 30; features tracked: 16
elapsed time: 0.0795269; featured found: 30; features tracked: 15
elapsed time: 0.0792957; featured found: 30; features tracked: 13
elapsed time: 0.0783145; featured found: 30; features tracked: 16
elapsed time: 0.0786534; featured found: 30; features tracked: 16
elapsed time: 0.0764785; featured found: 30; features tracked: 11
elapsed time: 0.082679; featured found: 30; features tracked: 14
elapsed time: 0.0773099; featured found: 30; features tracked: 17
elapsed time: 0.0773909; featured found: 30; features tracked: 16
elapsed time: 0.077554; featured found: 30; features tracked: 17
elapsed time: 0.0836609; featured found: 30; features tracked: 14
elapsed time: 0.0785436; featured found: 30; features tracked: 20
elapsed time: 0.077699; featured found: 30; features tracked: 19
elapsed time: 0.0779303; featured found: 30; features tracked: 20
elapsed time: 0.0866344; featured found: 30; features tracked: 20
elapsed time: 0.0779459; featured found: 30; features tracked: 14
elapsed time: 0.079636; featured found: 30; features tracked: 19
elapsed time: 0.077369; featured found: 30; features tracked: 15
elapsed time: 0.0773703; featured found: 30; features tracked: 20
elapsed time: 0.0776207; featured found: 30; features tracked: 18
elapsed time: 0.0779654; featured found: 30; features tracked: 15
elapsed time: 0.07734; featured found: 30; features tracked: 14
elapsed time: 0.083558; featured found: 30; features tracked: 15
elapsed time: 0.0773114; featured found: 30; features tracked: 20
elapsed time: 0.0771157; featured found: 30; features tracked: 20
elapsed time: 0.0772812; featured found: 30; features tracked: 23
elapsed time: 0.0772545; featured found: 30; features tracked: 17
elapsed time: 0.077434; featured found: 30; features tracked: 21
