[INFO] BRISK on CPU
elapsed time: 0.0146619; featured found: 100; features tracked: 40
elapsed time: 0.0203306; featured found: 113; features tracked: 27
elapsed time: 0.0136731; featured found: 106; features tracked: 39
elapsed time: 0.0160531; featured found: 112; features tracked: 40
elapsed time: 0.0145102; featured found: 138; features tracked: 39
elapsed time: 0.0138584; featured found: 110; features tracked: 40
elapsed time: 0.0141417; featured found: 125; features tracked: 42
elapsed time: 0.0136246; featured found: 115; features tracked: 39
elapsed time: 0.01451; featured found: 121; features tracked: 43
elapsed time: 0.0206994; featured found: 119; features tracked: 47
elapsed time: 0.0137922; featured found: 114; features tracked: 30
elapsed time: 0.014136; featured found: 122; features tracked: 37
elapsed time: 0.0143744; featured found: 115; features tracked: 36
elapsed time: 0.0144911; featured found: 122; features tracked: 44
elapsed time: 0.0138715; featured found: 122; features tracked: 37
elapsed time: 0.0143516; featured found: 133; features tracked: 42
elapsed time: 0.0137732; featured found: 123; features tracked: 48
elapsed time: 0.0206227; featured found: 115; features tracked: 31
elapsed time: 0.0146634; featured found: 117; features tracked: 41
elapsed time: 0.0140717; featured found: 131; features tracked: 32
elapsed time: 0.0139292; featured found: 107; features tracked: 38
elapsed time: 0.0138154; featured found: 131; features tracked: 41
elapsed time: 0.014088; featured found: 128; features tracked: 41
elapsed time: 0.0140349; featured found: 129; features tracked: 47
elapsed time: 0.0144719; featured found: 132; features tracked: 40
elapsed time: 0.0138681; featured found: 91; features tracked: 29
elapsed time: 0.0136941; featured found: 107; features tracked: 39
elapsed time: 0.0142172; featured found: 112; features tracked: 36
elapsed time: 0.0139095; featured found: 94; features tracked: 35
elapsed time: 0.0142866; featured found: 109; features tracked: 32
elapsed time: 0.0138842; featured found: 124; features tracked: 27
elapsed time: 0.0139156; featured found: 111; features tracked: 31
elapsed time: 0.0143618; featured found: 119; features tracked: 36
elapsed time: 0.0140215; featured found: 110; features tracked: 31
elapsed time: 0.0139197; featured found: 119; features tracked: 26
elapsed time: 0.0139267; featured found: 110; features tracked: 48
elapsed time: 0.0151843; featured found: 145; features tracked: 29
